Comp_Name,Sector
Expleo,Computer Software
Expleo,Information Technology Services
appcorp,Information Technology Services
appcorp,Telecommunications
Aqarmap.com,Internet/E-commerce
Aqarmap.com,Real Estate/Property Management
Peerless,Marketing and Advertising
Peerless,Computer Software
Peerless,Information Technology Services
Road9 Media,Marketing and Advertising
Road9 Media, Graphic Design
Road9 Media, Internet/E-commerce
2CooM,Management Consulting
Fawry Microfinance,Accounting and Auditing Services
El Sewedy Education - The Knowledge Hub Universities,Education
Giza Systems,Information Technology Services
e-finance,Financial Services
BBI-Consultancy,Computer Software
BBI-Consultancy,Information Technology Services
LCM North Africa Middle East,Pharmaceuticals
Sceel.io,Computer Software
Sceel.io,Outsourcing/Offshoring
Sceel.io,Recruitment and Staffing
Saint-Gobain,Manufacturing
Edentech,Computer Software
Nile Sugar,Food and Beverage Production
Nile Sugar,Manufacturing
Nebras Technology,Computer Software
Nebras Technology,Information Technology Services
Nebras Technology,Healthcare and Medical Services
Link Datacenter,Information Technology Services
Webhelp,Outsourcing/Offshoring
Webhelp,Recruitment and Staffing
Nile Projects & Trading,Apparel and Fashion
Nile Projects & Trading,Automotive
Horalix,Marketing and Advertising
Horalix,Information Technology Services
Tidal,Computer Software
Kyan Labs,Computer and Network Security
Puffin,Computer Software
Puffin,Engineering Services
Puffin,Recruitment and Staffing
Sketch-tech,Marketing and Advertising
Osolutions,Marketing and Advertising
Osolutions,Computer Software
Osolutions,Information Technology Services
Safa Soft,Publishing and Printing
Nahdet Misr Publishing Group,Computer Software
Nahdet Misr Publishing Group,E-Learning
iStoria,Information Technology Services
iStoria,Electronics and Semiconductors
iStoria,Manufacturing
Fruitful Solutions,Consumer Services
Fruitful Solutions,Logistics and Supply Chain
Fruitful Solutions,Retail
Sky Distribution,Computer Software
Sky Distribution,Information Technology Services
Softec Technologies,Computer and Network Security
Softec Technologies,Computer Software
Softec Technologies,Information Technology Services
Injaz Tech for advanced systems,Computer and Network Security
Injaz Tech for advanced systems,Computer Software
Injaz Tech for advanced systems,Information Technology Services
DX Republic,Animation
DX Republic,Information Technology Services
DEVOPSOLUTION,Computer Software
BI-Technologies,Computer Software
BI-Technologies,Information Technology Services
Obeikan Digital Solutions,Financial Services
Easy Cash,Information Technology Services
TRIMETIS,Computer and Network Security
TRIMETIS,Computer Software
Tafeel,Marketing and Advertising
Tafeel,Construction - Industrial Facilities and Infrastructure
Tafeel,Wholesale Trade
Latalia,Financial Services
FlapKap,Information Technology Services
FlapKap,Telecommunications
MakanE Company,Information Technology Services
JRM for Communications,Computer Software
JRM for Communications,Human Resources
Wicresoft,Information Technology Services
Wicresoft,Food Services/Restaurants/Catering
Wicresoft,Investment Banking
BSmart,Marketing and Advertising
BSmart,Computer Software
BSmart,Media Production
Jessour Misr,Information Technology Services
Horizon Agency,Financial Services
LINK Development,Information Technology Services
Fawry for Banking Technology and Electronic Payments S.A.E,Agriculture/Fishing/Farming
Perfect Presentation,Computer Software
Perfect Presentation,Information Technology Services
AGA,Information Technology Services
ICIS,Outsourcing/Offshoring
PETC,Real Estate/Property Management
PETC,Consulting Services
Holix,Computer and Network Security
BDO Esnad,Computer Software
BDO Esnad,Information Technology Services
BDO Esnad,Market Research
The Address Investments for Real Estate Consultancy,Computer Software
ACT Advanced Computer Technology,Computer Software
ACT Advanced Computer Technology,Information Technology Services
intella,Construction - Industrial Facilities and Infrastructure
intella,Construction - Residential & Commercial/Office
Algoriza,FMCG
Asset Technology Group,Higher Education
Asset Technology Group,Non-Profit Organizations
Itqanconstruction,Computer Software
Kgroup,Packaging and Containers
Zewail City,Information Technology Services
Technotown,Healthcare and Medical Services
Technotown,Medical Devices and Supplies
Smart Cards application,Information Technology Services
Smart Cards application,Training and Coaching
Smart Cards application,Consulting Services
Cepack,Marketing and Advertising
Cepack,Apparel and Fashion
Cepack,Internet/E-commerce
Informatique Education,Computer Software
Informatique Education,Logistics and Supply Chain
3D Diagnostix,Computer Software
3D Diagnostix,Information Technology Services
conveyou,Non-Profit Organizations
etmana,Agriculture/Fishing/Farming
etmana,FMCG
etmana,Import and Export
VAS Integrated Solutions,Information Technology Services
VAS Integrated Solutions,Internet/E-commerce
Raya Holding for Financial Investments,Computer Software
Raya Holding for Financial Investments,Information Technology Services
Olivery,Computer Software
Olivery,Information Technology Services
Olivery,Telecommunications
3S Software,Information Technology Services
Alexandria Business Association- SMEs Project,Computer Software
El Banna Group Company,Marketing and Advertising
El Banna Group Company,Healthcare and Medical Services
El Banna Group Company,Pharmaceuticals
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Computer Software
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Information Technology Services
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Internet/E-commerce
Dimofinf Operations Center,Construction - Industrial Facilities and Infrastructure
MTS-IT,Engineering Services
CommuniCare Health,Computer Software
Optasia,Information Technology Services
Octane solutions,Information Technology Services
Octane solutions,E-Learning
FlairsTech,FMCG
FlairsTech,Internet/E-commerce
Caduceus Lane,Computer Software
Arabia for Information Technology,Information Technology Services
Asass,Banking
Asass,Information Technology Services
Amer Vision Group,Accounting and Auditing Services
Amer Vision Group,Information Technology Services
Amer Vision Group,Financial Services
Millensys,Computer Software
Millensys,Translation and Localization
Millensys, E-Learning
Servmix,Consulting Services
classera,Information Technology Services
GoodsMart,Telecommunications
Agolo Egypt,Marketing and Advertising
Agolo Egypt,Computer Software
Agolo Egypt,Information Technology Services
eVision,Computer Software
Al Ahly Momkn for e-payment,Information Technology Services
Al Ahly Momkn for e-payment,Internet/E-commerce
Al Ahly Momkn for e-payment,Wholesale Trade
ERP-Bank,Manufacturing
Jumia Technologies AG,Computer Software
Dentsu Inc,Computer Software
Arabic Localizer,Manufacturing
Galaxy Consulting Solutions (G.C.S),Financial Services
softprograms,Information Technology Services
S.C. Johnson & Son Inc,Computer Software
Merck Sharp & Dohme Corp,Computer Software
Giza Arabia Systems,Information Technology Services
Giza Arabia Systems,Consulting Services
IBM WTC Egypt,Computer Software
IBM WTC Egypt,Information Technology Services
Sutherland,Business Services - Other
Sutherland,Computer Software
Sutherland,Information Technology Services
BayanTech,Computer Software
BayanTech,Internet/E-commerce
BayanTech,Recruitment and Staffing
Nile Creations,Computer Software
34ML,Information Technology Services
QARA,Alternative Medicine
QARA,Healthcare and Medical Services
QARA,Medical Devices and Supplies
idaco,Financial Services
Bevatel,Real Estate/Property Management
Bevatel,Retail
WSC,Outsourcing/Offshoring
Elaraby Group,Information Technology Services
Elaraby Group,Healthcare and Medical Services
Al Ahly capital holding - Al Ahly Tamkeen,Human Resources
Amazon MENA,Medical Devices and Supplies
YOUXEl Technology,Apparel and Fashion
YOUXEl Technology, Computer Networking
YOUXEl Technology, Retail
TechJump,Automotive
TechJump,Logistics and Supply Chain
ITSS,Other - Not Classified
Robiquity,Real Estate/Property Management
egabi solutions,Computer Software
egabi solutions,Information Technology Services
Erpplus5,Accounting and Auditing Services
GetTechForce.com,Information Technology Services
LINK TSP,Information Technology Services
LINK TSP,Outsourcing/Offshoring
LINK TSP,Recruitment and Staffing
Efada Technology,Computer Software
MFG,Energy and Utilities
MedVAlley S.A.E,Computer Software
Mubasher,Automotive
Trans World Trading,Human Resources
Trans World Trading,Recruitment and Staffing
Trans World Trading,Consulting Services
Enable,Computer Software
Dedalus,Information Technology Services
Dedalus,Internet/E-commerce
Premier Services and Recruitment,Computer Software
Premier Services and Recruitment,Research
Premier Services and Recruitment,E-Learning
K Line Europe,Food Services/Restaurants/Catering
Yespays,Travel and Tourism
Nacita,Marketing and Advertising
Nacita,Information Technology Services
Nacita,Graphic Design
Delta Egypt For Lighting,Computer Hardware
Delta Egypt For Lighting,Computer Software
Delta Egypt For Lighting,Information Technology Services
Kandeel Group,Information Technology Services
Qureos,Telecommunications
Bydotpy,Computer and Network Security
Bydotpy,Computer Software
Bydotpy,Information Technology Services
Cashcall,Information Technology Services
Lumin,Retail
SSC Egypt,Management Consulting
International Advanced,Computer Software
International Advanced,Insurance
ENOVA Facilities Management,Construction - Industrial Facilities and Infrastructure
ENOVA Facilities Management,Construction - Residential & Commercial/Office
ENOVA Facilities Management,Engineering Services
Callvita,Marketing and Advertising
New Energy EV,Information Technology Services
Tawzef,Information Technology Services
Airpoint,Computer Software
Airpoint,Information Technology Services
Fixed Solutions,Consulting Services
RDI,Computer Software
RDI,Hospitality/Hotels
RDI,Education
Alromansiah,Construction - Residential & Commercial/Office
Travolic.LLc,Information Technology Services
BeConnected,Information Technology Services
BeConnected,Financial Services
Simple Touch Software,Other - Not Classified
MegaSoft,Marketing and Advertising
MegaSoft,Financial Services
Poverty Action Lab,Computer Software
Poverty Action Lab,Information Technology Services
Poverty Action Lab,Financial Services
Cargoes,Computer Software
SABA,Business Services - Other
SABA,Computer Software
Ejada,Higher Education
Sarmady,Computer Software
Sarmady,Information Technology Services
Heineken,Education
Heineken,Travel and Tourism
Union Coop,Computer Software
Union Coop,Information Technology Services
Azdan Business Analytics,Apparel and Fashion
Azdan Business Analytics,Textile and Clothing
Azdan Business Analytics,Retail
Trufla,Education
Trufla,E-Learning
Samcrete Engineers & contractors,Engineering Services
Victory Link,Human Resources
Netcompay- Intrasoft,Other - Not Classified
CrossWorkers,Computer Software
CrossWorkers,Security and Surveillance
CyberX,Computer Software
World Food Program - Other locations,Business Services - Other
Expert Apps,Manufacturing
FinBi Finance & Banking Consultants International,Other - Not Classified
Our Education,Business Services - Other
Aswaq,Information Technology Services
Nahr Development,Healthcare and Medical Services
EGID company,Information Technology Services
Al-Meshka,Marketing and Advertising
waffarha.com,Marketing and Advertising
waffarha.com,Computer Software
waffarha.com,Information Technology Services
TREX,Computer Software
eT3 - Tomorrow Information Technology,Real Estate/Property Management
AK IT Consulting,Outsourcing/Offshoring
Nile University,Internet/E-commerce
Nile University,Retail
Dexef,Information Technology Services
Dexef,Outsourcing/Offshoring
Casita,Education
Casita,Training and Coaching
Noases,Sports
FinTech Collective,Biotechnology
FinTech Collective,Computer Software
FinTech Collective,Research
Antal International - Egypt,Marketing and Advertising
Tie House,Transportation
Tie House,Travel and Tourism
IQRA Network,Computer Software
IQRA Network,Consulting Services
Engosoft,Human Resources
Engosoft,Training and Coaching
Engosoft,Recruitment and Staffing
CRE Venture Capital,Information Technology Services
Oracle - Egypt,Retail
Elev8Assessments,Travel and Tourism
Carpet Land,Computer Hardware
Carpet Land,Computer Networking
Carpet Land,Information Technology Services
GET Group- Egypt,Real Estate/Property Management
Charisma Design,Marketing and Advertising
Charisma Design,Computer Software
Charisma Design,Information Technology Services
LABS,Construction - Residential & Commercial/Office
DXC.technology,Information Technology Services
Decorative Glass And Arab Union Glass Group,Business Services - Other
IST Networks,Higher Education
IST Networks,Education
IST Networks,Training and Coaching
Anzma tech,Logistics and Supply Chain
Anzma tech,Warehousing
Superior Business Solutions,Information Technology Services
Superior Business Solutions,Insurance
As-Salam International Hospital,Retail
As-Salam International Hospital,Telecommunications
Dynamicslink,Telecommunications
Centione,Construction - Residential & Commercial/Office
Centione,Engineering Services
Centione,Environmental Services
Finiex Soft,Computer Software
ITS,Computer Software
ITS,Legal Services
Dorra Group,Manufacturing
Outservingplus,Computer Software
Jumia,Information Technology Services
Qsource,Computer Networking
Qsource,Publishing and Printing
MICA,Education
Kode Clubs - Hassan Allam Sports Clubs,Financial Services
HITS Solutions,Business Services - Other
HITS Solutions,Market Research
HITS Solutions,Research
9H Capital,Information Technology Services
Alouf Travel,Food and Beverage Production
InnovaDigits,Apparel and Fashion
InnovaDigits,Retail
Rawaj-HCM,Information Technology Services
DIRAC SYSTEMS,Computer Software
DIRAC SYSTEMS,Manufacturing
DIRAC SYSTEMS,Research
Ahmed El-Sallab,Automotive
Nahdetmisr For Environmental services,Information Technology Services
Nahdetmisr For Environmental services,Internet/E-commerce
shaheen communication data systems,Information Technology Services
Global Brands,Security and Surveillance
Global Brands,Telecommunications
Enwan Developments,FMCG
Dafa,Computer Software
Mazar construction,Engineering Services
Mazar construction,Manufacturing
Viavi Solutions,Engineering Services
Exacall,FMCG
Exacall,Retail
Pure Group,Information Technology Services
EELU,Computer Software
EELU,Information Technology Services
Logistica,Computer Software
Logistica,Information Technology Services
Estafsar,Computer Software
Estafsar,Information Technology Services
Estafsar,Consulting Services
Xceed Contact Center,Automotive
Xceed Contact Center,Manufacturing
Etisalat Egypt,Telecommunications
United Group For Engineering And Investment,Electronics and Semiconductors
Ultimate Academy,Marketing and Advertising
ثقة الانجاز,Information Technology Services
El-Sewedy Electrometer,Agriculture/Fishing/Farming
qTech.,Information Technology Services
AGG information technology,Computer Software
AGG information technology,Information Technology Services
Art Link,Information Technology Services
Art Link,Financial Services
Art Link,Internet/E-commerce
El Alsson British & American International School,Automotive
Schneider Electric - Egypt,Construction - Industrial Facilities and Infrastructure
Premium Card,Information Technology Services
Infotech,Internet/E-commerce
Roaya,Computer Software
Roaya,Information Technology Services
Lychee Fruit Bar,Automotive
Mazaya,Oil and Gas
GS - GEO Solutions,Higher Education
hyperone,Information Technology Services
TTC Technologies,Human Resources
TTC Technologies,Recruitment and Staffing
SE Wiring Systems EGYPT,"Health, Wellness and Fitness"
SE Wiring Systems EGYPT,Sports
ElMotaheda Web,Financial Services
Johnson & Johnson,Computer Software
Johnson & Johnson,Information Technology Services
Cryptostart,Construction - Residential & Commercial/Office
Egabi FSI,Computer Software
SMARTTEL,Computer Software
SMARTTEL,Engineering Services
Rashideen Egypt for Trade,Computer Software
Rashideen Egypt for Trade,Information Technology Services
Rashideen Egypt for Trade,Management Consulting
intrazero,Automotive
intrazero,Consumer Services
TEPCO S.A.E.,Financial Services
EAST,Computer Software
EAST,Information Technology Services
EAST,Human Resources
Smartverse,Textile and Clothing
LxT,Marketing and Advertising
LxT,Internet/E-commerce
LxT,Photography
Basata,Automotive
Basata,Retail
Azm development,Insurance
OdooTec,Computer Software
GLOBAL AUTO,Information Technology Services
Telegeeks LLC,Construction - Industrial Facilities and Infrastructure
Telegeeks LLC,Construction - Residential & Commercial/Office
Telegeeks LLC,Engineering Services
Midea Group,Information Technology Services
PILLARS CONSULTANCY & RECRUITMENT,Information Technology Services
PILLARS CONSULTANCY & RECRUITMENT,Healthcare and Medical Services
AFFSQUARE,Food and Beverage Production
AFFSQUARE,Food Services/Restaurants/Catering
SURE International Technology,Education
Egast,Marketing and Advertising
Egast,Computer Games
Egast,Entertainment
Aliaict,Computer Software
Aliaict,Internet/E-commerce
Aliaict,Real Estate/Property Management
Arabian Advanced Systems,Marketing and Advertising
Arabian Advanced Systems,Computer Software
Arabian Advanced Systems,Information Technology Services
Network International -Egypt,Real Estate/Property Management
Samaya Electronics Egypt LTD,Banking
Samaya Electronics Egypt LTD,Computer Software
Samaya Electronics Egypt LTD,Information Technology Services
EEC Group,Manufacturing
Kian Alraqmih,Information Technology Services
acwme,Computer Software
acwme,Information Technology Services
acwme,Consulting Services
Four Seasons Hotels and Resorts,Manufacturing
Kuehne & Nagel Logistics,Venture Capital and Private Equity
Kuehne & Nagel Logistics,Consulting Services
eBSEG,Automotive
Kasrawy Group,Information Technology Services
Measuresoft oil and gas Services,Computer Software
Measuresoft oil and gas Services,Information Technology Services
Measuresoft oil and gas Services,Internet/E-commerce
Global Academic Foundation Hosting University of Hertfordshire UH,Healthcare and Medical Services
IT Pillars,Law Enforcement
IT Pillars,Legal Services
Pillars,Construction - Industrial Facilities and Infrastructure
Khatib & Alami,Computer Software
Khatib & Alami,Information Technology Services
Numrah,Travel and Tourism
Nature's Rule Egypt LLC,Construction - Residential & Commercial/Office
Nature's Rule Egypt LLC,Real Estate/Property Management
Statements for Consulting,Manufacturing
Ultimate Solutions Egypt,Computer Software
Elhazek Construction,Information Technology Services
Elhazek Construction,Education
Elhazek Construction,E-Learning
Kick Start Interactive,Computer Software
Kick Start Interactive,Information Technology Services
Kick Start Interactive,Internet/E-commerce
INNOVA SOFT,Financial Services
INNOVA SOFT,Internet/E-commerce
Nerva,Food and Beverage Production
Auto Tager,Information Technology Services
Erada,Business Services - Other
Erada,Information Technology Services
WorldFish,Transportation
WUZZUF,Consumer Electronics
WUZZUF,Internet/E-commerce
Shatta,Computer Software
Shatta,Electronics and Semiconductors
Shatta,Engineering Services
Intercept Technologies,Financial Services
Nour Eldin Elsherif for Trading vehicles,Engineering Services
Tokio Marine Egypt General,Business Services - Other
Tokio Marine Egypt General,Human Resources
Mass Technology,Information Technology Services
Youxel,Education
365 Ecology,Retail
Amasi,Education
Bypa-ss,Information Technology Services
Bypa-ss,"Health, Wellness and Fitness"
Bypa-ss,Personal Care and Services
Cilantro,Manufacturing
(MSA) October University,Computer and Network Security
(MSA) October University,Computer Networking
(MSA) October University,Information Technology Services
Gamers Lounge,Construction - Industrial Facilities and Infrastructure
Gamers Lounge,Energy and Utilities
Gamers Lounge,Management Consulting
Deal,Apparel and Fashion
Deal,Retail
SevenCodeApps,Internet/E-commerce
Ali Alkhajeh Development,Engineering Services
CARITech,Media Production
Smart Glass Company,Business Services - Other
Smart Glass Company,Financial Services
Smart Glass Company,Non-Profit Organizations
IKEN Technology,Engineering Services
IKEN Technology,Education
Ofoq Consulting,Real Estate/Property Management
Kiromarble for marble and granite,Recruitment and Staffing
Golden Gates,Computer Software
Golden Gates,Information Technology Services
YELO,Real Estate/Property Management
Klik,Information Technology Services
scandiweb,Education
scandiweb,Training and Coaching
sios,Computer Software
sios,Consulting Services
Yassien & Partners Law Firm,Information Technology Services
Deutschland Technology Limited,Import and Export
Spatium Software,Marketing and Advertising
Spatium Software,Information Technology Services
Safa International Travel,Chemicals
Alkarma Developments,Computer and Network Security
MCV,Computer Games
MCV,Computer Software
Eg Insurtech,Agriculture/Fishing/Farming
Eg Insurtech,Automotive
Eg Insurtech,Manufacturing
Furqan Group for Education & IT,Internet/E-commerce
Furqan Group for Education & IT,Retail
Crevisoft Corporation,Construction - Industrial Facilities and Infrastructure
Crevisoft Corporation,Mining and Metals
Sulfah,Computer Software
Sulfah,Information Technology Services
Sulfah,Internet/E-commerce
Egypt Bakery Stores,Computer Software
Target Integrated Systems,Business Supplies and Equipment
Target Integrated Systems,Engineering Services
Enegix,Automotive
Enegix,Computer Software
Enegix,Information Technology Services
Alstom,Outsourcing/Offshoring
RUSHBRUSH INC,Computer Games
RUSHBRUSH INC,Entertainment
RUSHBRUSH INC,Internet/E-commerce
Procoor,Accounting and Auditing Services
Procoor,Information Technology Services
NCR,Manufacturing
Promech Engineering,Logistics and Supply Chain
Promech Engineering,Pharmaceuticals
Forasna,Real Estate/Property Management
InitRes,Information Technology Services
InitRes,Telecommunications
GEMS Education,Healthcare and Medical Services
GEMS Education,Insurance
Seoudi Supermarket,Airlines/Aviation
Ethos International School,Computer Software
Glamera,Construction - Industrial Facilities and Infrastructure
Glamera,Retail
Tech 101,Banking
Tech 101,Investment Banking
etisal for advanced industries,Outsourcing/Offshoring
iNetwork Solutions,Information Technology Services
alfanar,Paper and Forest Products
Town Team,Information Technology Services
Town Team,Financial Services
Signature Technology DMCC,Internet/E-commerce
Tartoussieh Engineering & Trading Co,Information Technology Services
Mercury Visual Solutions,Computer Software
Mercury Visual Solutions,Information Technology Services
Mercury Visual Solutions,Graphic Design
"The Micro, Small & Medium Enterprise Development Agency",Agriculture/Fishing/Farming
TechAdemics,Computer Software
Upwyde,Translation and Localization
Premier Services and Recruitment Overseas,Computer Software
Premier Services and Recruitment Overseas,Information Technology Services
Queen Tech Solutions,Computer Software
Queen Tech Solutions,Information Technology Services
Mazloum Real Estate,"Health, Wellness and Fitness"
Advanced Solutions,Real Estate/Property Management
engineering tracks,Education
PSH,Computer Software
PSH,Information Technology Services
Techno Management,Real Estate/Property Management
El Khamis Hydraulic Company,Healthcare and Medical Services
Delivery-tech,Computer Networking
Delivery-tech,Information Technology Services
Orient,Banking
Orient,Information Technology Services
Orient,Manufacturing
Vzadi.com,Education
Bright Vision,Marketing and Advertising
Bright Vision,Business Services - Other
Bright Vision,Information Technology Services
El Teriak Industrial Group,Travel and Tourism
iono tech,Retail
Khodar.com,FMCG
Zamil Steel Buildings Co,Engineering Services
Spark Systems,Financial Services
LoadServ,Marketing and Advertising
LoadServ,Media Production
Zawaya,Real Estate/Property Management
Afaqy,Manufacturing
Sequel Solutions,Computer Software
2oolAmeme,Other - Not Classified
Mc Ledger,Other - Not Classified
Sierra Engineering & Manufacturing,Construction - Industrial Facilities and Infrastructure
Ibn Sina Pharma,Engineering Services
Dubai Egypt Sweden,Construction - Industrial Facilities and Infrastructure
TA telecom,Marine Manufacturing & Services
TA telecom,Recreational Facilities and Services
Al Ahly Medical Company,Computer Software
Air Arabia,Information Technology Services
TensorGraph,Other - Not Classified
Mantrac,Marketing and Advertising
Mantrac,Information Technology Services
Al Amin Technological Systems,Computer Software
Al Amin Technological Systems,Training and Coaching
Dataline technology company,Higher Education
Options,Manufacturing
Options,Publishing and Printing
Softxpert Incorporation,Information Technology Services
INTERPAC,Business Services - Other
INTERPAC,Information Technology Services
INTERPAC,Financial Services
Kashier Payment Solutions,Marketing and Advertising
Kashier Payment Solutions,Agriculture/Fishing/Farming
Kashier Payment Solutions,Veterinary
e Aswaaq Misr,Chemicals
e Aswaaq Misr,FMCG
Smartly,Broadcasting and Film
Smartly,Media Production
Smartly,Translation and Localization
Mimocodes,Construction - Industrial Facilities and Infrastructure
PICO,Computer Software
PICO,Information Technology Services
Arabian Systems,Marketing and Advertising
Arabian Systems,Computer Software
Arabian Systems,Information Technology Services
"Do Localize, Ltd.",Information Technology Services
A1Softech,FMCG
A1Softech,Food and Beverage Production
CompactSoft International,Real Estate/Property Management
Health Insights Group,Computer Software
New Plan,Outsourcing/Offshoring
British University of Egypt,Other - Not Classified
Alexandria For Programming,Marketing and Advertising
Alexandria For Programming,Agriculture/Fishing/Farming
Alexandria For Programming,Food and Beverage Production
Roya Developments,Engineering Services
Shifa Egypt,Information Technology Services
Silicon21,Computer Software
Masria Digital Payment (MDP),Pharmaceuticals
Edu-Zone,Information Technology Services
Puzzle,Architectural and Design Services
Puzzle,Engineering Services
Guestna,Computer Software
Guestna,Information Technology Services
Aman,Internet/E-commerce
TRAUXIT,Import and Export
Kellogg Tolaram Noodles Egypt LLC,Engineering Services
Kellogg Tolaram Noodles Egypt LLC,Manufacturing
Kellogg Tolaram Noodles Egypt LLC,Wholesale Trade
Johnson Controls,"Health, Wellness and Fitness"
Johnson Controls,Healthcare and Medical Services
Johnson Controls,Retail
Khales,Outsourcing/Offshoring
Marketopia,Marketing and Advertising
Marketopia,Outsourcing/Offshoring
Naia Developments,Marketing and Advertising
INDEVCO,Telecommunications
Capleo Globle,Computer Software
Capleo Globle,Information Technology Services
EDRAK Software,Marketing and Advertising
EDRAK Software,Computer Software
EDRAK Software,Internet/E-commerce
Transmar International,Computer Software
Transmar International,Information Technology Services
Interactive Limited/Carma Group,Computer Software
SHAWAHID ROADS INDUSTRIAL COMPANY,Computer Software
SHAWAHID ROADS INDUSTRIAL COMPANY,Information Technology Services
Melco-Mec Egypt for Elevators & Escalators - Mitsubishi,Logistics and Supply Chain
Melco-Mec Egypt for Elevators & Escalators - Mitsubishi,Recruitment and Staffing
Shotmed,Construction - Industrial Facilities and Infrastructure
EFS,Education
EFS,Training and Coaching
"Izam, inc.",Education
Objects,Marketing and Advertising
Objects,Computer Software
Objects,Retail
Royal Investment,Translation and Localization
COREations,Management Consulting
COREations,Training and Coaching
EpsilonAI,Construction - Residential & Commercial/Office
EpsilonAI,Import and Export
EpsilonAI,Real Estate/Property Management
Universities of Canada in Egypt,Insurance
El Mohandess Print House,Financial Services
Impactyn,Manufacturing
Fintech solutions,Information Technology Services
Elkenany Group,Accounting and Auditing Services
Elkenany Group,Financial Services
Elkenany Group,Consulting Services
FRIDAL,Information Technology Services
Arlation Media Services,Education
TIC,Higher Education
TIC,Education
TIC,Training and Coaching
Rednet It Services,Information Technology Services
Moltaqa,Cosmetics
Konnekt Union,Construction - Industrial Facilities and Infrastructure
Konnekt Union,Construction - Residential & Commercial/Office
Konnekt Union,Real Estate/Property Management
Jaffangroup,Computer and Network Security
Jaffangroup,Computer Software
Jaffangroup,Information Technology Services
altameerarabian,Construction - Industrial Facilities and Infrastructure
Integrated Technology Group,Computer Software
iSON Xperiences Egypt,Investment Banking
Order King,Computer Software
Finding From Egy,Computer Software
TMA For Industrial Supplies,Marketing and Advertising
TMA For Industrial Supplies,Computer Software
TMA For Industrial Supplies,Retail
Ether Technology,Human Resources
Egyptian Integration,Financial Services
ACML - Egypt,Computer Software
ACML - Egypt,Energy and Utilities
ACML - Egypt,Engineering Services
Parkville Pharmaceuticals,Recruitment and Staffing
Dolf,Marketing and Advertising
Dolf,Computer Software
Dolf,Information Technology Services
Lecon,Healthcare and Medical Services
RTR Software Solutions,Marketing and Advertising
RTR Software Solutions,Banking
RTR Software Solutions,Financial Services
InstaShop,Information Technology Services
Elfostat Company for import and export,FMCG
Elfostat Company for import and export,Food and Beverage Production
شركه طنطا موتورز,Construction - Residential & Commercial/Office
شركه طنطا موتورز,Energy and Utilities
Max Muscle,Education
eGate Egypt,Information Technology Services
Majorel Egypt,Real Estate/Property Management
Majorel Egypt,Retail
cCc callcenter and Digital Marketing,Cosmetics
cCc callcenter and Digital Marketing,Pharmaceuticals
CTO for startups,Healthcare and Medical Services
CTO for startups,Pharmaceuticals
Solutions,Information Technology Services
Solutions,Education
Intelcia,Computer Software
Ascon Advanced Solutions & Consultant,Publishing and Printing
The Portal,Internet/E-commerce
شيلتر تكنولوجي,Travel and Tourism
Sinmar Soft,Information Technology Services
Quick Services,Education
Quick Services,Publishing and Printing
Quick Services,E-Learning
Post Distribution Company,Computer Software
Alumil,Human Resources
Balanced Education Company,Computer and Network Security
Balanced Education Company,Computer Software
Balanced Education Company,Information Technology Services
Delta American School,Financial Services
Delta American School,Healthcare and Medical Services
Delta American School,Retail
Shahbandr,Architectural and Design Services
Shahbandr,Construction - Industrial Facilities and Infrastructure
Loc-Camp,Business Services - Other
Loc-Camp,Computer Software
Loc-Camp,Information Technology Services
BRISK Business Inc.,Information Technology Services
ORGANI GROUP,Engineering Services
ORGANI GROUP,Logistics and Supply Chain
Mohandes Life Insurance,Computer Games
Seena - سينا,Higher Education
Seena - سينا,Education
Egypt University of Informatics (EUI),Computer Software
Egypt University of Informatics (EUI),Information Technology Services
Rubyred Garment,Business Services - Other
Rubyred Garment,Computer and Network Security
Rubyred Garment,Information Technology Services
ZINAD IT,Computer Software
ZINAD IT,Information Technology Services
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,Information Technology Services
Shebak,Computer Software
Swakli Digital Events,Engineering Services
Windrose Academy,Information Technology Services
British Council,FMCG
Multi Level Group (MLG),Marketing and Advertising
Hayati SRL,Manufacturing
Hayati SRL,Packaging and Containers
Hayati SRL,Plastics